"outcomeName","trueLogRr","logRr","seLogRr"
"GiBleed","","-0.35752343681281101","0.066689031772275698"
"Neck pain","1.3862943611198899","1.14669611640891","0.033247080859561802"
"Neck pain","0.69314718055994495","0.55392829424176104","0.039599796937868602"
"Neck pain","0","-0.100155081495152","0.050051055379679597"
"Neck pain","0.405465108108164","0.28880251604402202","0.043446155717938299"
"Curvature of spine","0","0.018546043407605","0.0802419408145333"
"Curvature of spine","1.3862943611198899","1.3519969965931899","0.053272276951915103"
"Curvature of spine","0.69314718055994495","0.69189032707342102","0.063571768220041305"
"Curvature of spine","0.405465108108164","0.42727360638280398","0.069327382931353806"
"Dislocation of joint","0","-0.143483421179529","0.11084576491001399"
"Dislocation of joint","0.405465108108164","0.26521264917845699","0.094996957054971298"
"Dislocation of joint","1.3862943611198899","1.21823909147425","0.071099922348072206"
"Dislocation of joint","0.69314718055994495","0.549663329693859","0.086247417432048196"
"Peripheral vertigo","0","-0.036274825727906697","0.089983879378255194"
"Peripheral vertigo","1.3862943611198899","1.3101730462761401","0.058849382748740298"
"Peripheral vertigo","0.405465108108164","0.369190168324462","0.077512112119329901"
"Peripheral vertigo","0.69314718055994495","0.64745294850130397","0.070666601715274696"
"Effusion of joint","0.405465108108164","0.20002061420432801","0.053922660277521198"
"Effusion of joint","0.69314718055994495","0.481871580666899","0.048908048876671703"
"Effusion of joint","1.3862943611198899","1.0945106328377601","0.040850017683989798"
"Effusion of joint","0","-0.20650210925943199","0.063020835083805904"
"Urinary tract infectious disease","1.3862943611198899","0.86072000204676202","0.0262560710111653"
"Urinary tract infectious disease","0.405465108108164","0.122488173622935","0.033364919632368498"
"Urinary tract infectious disease","0.69314718055994495","0.36803256527168599","0.030646324884053101"
"Urinary tract infectious disease","0","-0.25308826385157102","0.038586925173806297"
"Chronic ulcer of skin","0.69314718055994495","0.0392611572152975","0.053652443421083003"
"Chronic ulcer of skin","1.3862943611198899","0.69249157912423398","0.0427436092965248"
"Chronic ulcer of skin","0.405465108108164","-0.23403214379572701","0.059596613785603603"
"Chronic ulcer of skin","0","-0.645227956707766","0.070831249356528195"
"Ingrowing nail","0.69314718055994495","0.55923317287760799","0.0563766183145369"
"Ingrowing nail","1.3862943611198899","1.1949784301080699","0.047020390379695"
"Ingrowing nail","0.405465108108164","0.28523121738823098","0.061896698558213503"
"Ingrowing nail","0","-0.113463309493279","0.071939690499533096"
