"drugName","groundTruth","logRr","seLogRr"
"Thiothixene","0","0.61310447300000004","0.57177187532257279"
"Methocarbamol","0","0.64789058899999996","0.19138269333535227"
"Neostigmine","0","1.791759466","1.4142135620810838"
"Phentermine","0","0.94446160899999998","0.34503277954985895"
"Disulfiram","0","-0.15415068000000001","1.0690449652125367"
"Sertraline","1","0.76895283599999997","0.065912850801206832"
"Orlistat","0","0.80011929999999998","0.24414604872226617"
"Prochlorperazine","0","1.1861565110000001","0.15813611708790332"
"Metaxalone","0","0.83634043300000005","0.14419280672998322"
"Chlorazepate","0","0.58279912300000003","0.25480457796542971"
"Temazepam","0","0.95192923600000001","0.12666239846016833"
"Urea","0","0.76214005200000001","0.36839419877735791"
"Miconazole","0","1.722766644","0.37161167641361925"
"Benzocaine","0","1.149905583","0.39068091675235556"
"Oxybutynin","0","0.49740551300000002","0.13661471980629689"
"Amylases","0","1.268511325","0.31549490777438266"
"Nitrofurantoin","0","0.72866744699999997","0.16423265468572457"
"Hyoscyamine","0","1.2618692810000001","0.11210972172112224"
"Dicyclomine","0","1.3220857530000001","0.1464361978043548"
"Endopeptidases","0","1.268511325","0.31549490777438266"
"Propantheline","0","1.0986122890000001","1.224744871597744"
"Scopolamine","0","0.96343751099999997","0.19444804547370906"
"Simethicone","0","1.7047481360000001","0.24099960141998145"
"Ketoconazole","0","1.053945218","0.14671914538757819"
"Lactulose","0","1.1631508100000001","0.43779751781295162"
"Lipase","0","1.268511325","0.31549490777438266"
"Sucralfate","0","1.7854163860000001","0.17552551810826567"
"Tetrahydrocannabinol","0","0.405465462","0.64549715640996741"
"Loratadine","0","0.59411909200000002","0.062444196229393921"
"Benzonatate","0","0.70528936900000005","0.1347554150733378"
"Salmeterol","0","0.83161828000000004","0.074573783167650592"
"Ergotamine","0","0.405465462","0.49999994684925525"
"Fluticasone","0","0.72051974299999999","0.067989631920276378"
"Epoetin Alfa","0","1.0678406309999999","0.30463589812861963"
"Moexipril","0","0.55641223500000003","0.18961043562446328"
"Chlorambucil","0","1.791759466","0.81649658110694845"
"Ferrous gluconate","0","1.925290862","0.2112885638091421"
"Pioglitazone","0","0.50687126500000002","0.10537401714353524"
"Acarbose","0","0.087013958000000002","0.54355682055667398"
"Rosiglitazone","0","0.74856873899999998","0.10278924873969462"
"Itraconazole","0","0.652325186","0.40620192023575613"
"Lamivudine","0","-0.049009797000000001","0.34115391838025139"
"Zidovudine","0","0.100083459","0.41130637356602956"
"Penicillin V","0","0.87546873800000002","0.59160797857365666"
"Terbinafine","0","0.650878858","0.18912803210650742"
"Stavudine","0","-1.0704410019999999","0.72702904545335412"
"Vitamin A","0","1.0986122890000001","0.61237243556752174"
