"drugName","groundTruth","logRr","seLogRr"
"Sodium Phosphate","0","2.1920208370999998","0.72930428293734217"
"Isoniazid","1","1.3942156149","0.20559124948745475"
"Lithium citrate","0","0.84220209859999995","1.0102884078865757"
"Sitagliptin","0","0.67850060329999995","0.082997756503252529"
"Salmeterol","0","0.62634227919999996","0.12458462437170864"
"Lactulose","0","0.62069515129999997","0.056909272621239113"
"Dicyclomine","0","0.60686695459999995","0.058530829317723902"
"Primidone","0","0.48486341109999997","0.12150176002335282"
"Tetrahydrocannabinol","0","0.43038711740000002","0.15053854118102056"
"Sucralfate","0","0.33013171879999997","0.063937451965683831"
"Hyoscyamine","0","0.2322586385","0.064281103680364743"
"Oxybutynin","0","0.22154839740000001","0.057096375959306868"
"Almotriptan","0","0.17342149609999999","0.71259823915986753"
"Propantheline","0","0.1373067704","1.0064277997469953"
"Methenamine","0","0.1102580553","0.32168068355804808"
"Phentermine","0","0.080908853399999994","0.29304675040280692"
"Griseofulvin","0","-0.065442868000000001","0.34085516609366429"
"Fluticasone","0","-0.139094569","0.050378853523255718"
"Flavoxate","0","-0.33636313200000001","0.38176290408294955"
"Droperidol","0","-0.38690014700000003","0.44959186405600621"
"Cosyntropin","0","-0.38900626999999999","0.58193902566615829"
"Benzocaine","0","-0.44451351700000002","0.24555741347509669"
"Neostigmine","0","-0.50885216200000005","0.20863600913562777"
"Phentolamine","0","-0.51157701200000005","1.0053314253008574"
"Benzonatate","0","-0.52548856899999996","0.065471249649576221"
"Ergotamine","0","-0.59064607599999996","0.58150044840719806"
"Gatifloxacin","0","-0.59810450699999995","0.086146065054160989"
"Ketotifen","0","-0.61409736000000004","0.33642042010416595"
"Penicillin V","0","-0.89860278400000004","0.1159448845144613"
"Scopolamine","0","-0.97507836199999998","0.16619654580052987"
"Adenosine","0","-1.055929509","0.056446411116050282"
